,Number of Products,Product_Category
0,470266,Category_019
1,101627,Category_005
2,97787,Category_001
3,82402,Category_007
4,52008,Category_021
5,35552,Category_006
6,31012,Category_028
7,23208,Category_011
8,22954,Category_015
9,20885,Category_024
10,19738,Category_009
11,14771,Category_026
12,12997,Category_030
13,9296,Category_032
14,8657,Category_022
15,7899,Category_023
16,5239,Category_018
17,4189,Category_003
18,3743,Category_013
19,3490,Category_020
20,2268,Category_031
21,1849,Category_033
22,1560,Category_008
23,1147,Category_012
24,976,Category_010
25,671,Category_029
26,615,Category_017
27,329,Category_004
28,77,Category_002
29,37,Category_016
30,35,Category_025
31,26,Category_014
32,26,Category_027
