,Order_Demand,Date
0,2075,2013/9/27
1,1920,2013/10/25
2,1899,2013/10/30
3,1850,2013/10/28
4,1286,2014/1/6
5,1270,2014/4/1
6,1264,2012/10/1
7,1258,2014/2/10
8,1256,2014/11/4
9,1222,2013/10/1
10,1219,2014/3/24
11,1217,2013/1/7
12,1178,2016/10/3
13,1171,2014/10/1
14,1158,2013/6/3
15,1143,2016/6/27
16,1141,2013/11/21
17,1137,2013/9/24
18,1134,2015/11/30
19,1132,2014/9/25
20,1128,2014/2/6
21,1124,2014/3/12
22,1123,2014/3/25
23,1120,2015/1/5
24,1119,2012/10/9
25,1118,2014/3/3
26,1117,2016/6/30
27,1114,2015/12/1
28,1108,2016/8/1
29,1100,2015/2/2
30,1100,2015/8/3
31,1091,2014/3/11
32,1090,2013/4/22
33,1088,2015/10/1
34,1087,2014/3/31
35,1080,2014/2/21
36,1079,2015/11/2
37,1076,2014/7/1
38,1075,2012/9/3
39,1072,2013/8/1
40,1069,2014/11/25
41,1068,2014/6/17
42,1068,2016/12/1
43,1067,2014/3/4
44,1066,2013/9/2
45,1066,2013/10/22
46,1065,2012/12/3
47,1065,2015/4/1
48,1065,2014/9/1
49,1062,2014/9/16
50,1061,2013/12/2
51,1060,2014/5/13
52,1060,2014/2/4
53,1059,2014/11/27
54,1057,2014/6/2
55,1057,2013/12/17
56,1057,2014/12/9
57,1057,2012/2/1
58,1053,2013/8/6
59,1051,2013/9/30
60,1049,2015/5/7
61,1049,2012/10/15
62,1048,2014/11/11
63,1047,2014/7/22
64,1044,2016/1/5
65,1044,2014/9/9
66,1043,2013/12/12
67,1042,2013/10/26
68,1042,2014/1/21
69,1041,2015/7/21
70,1040,2013/11/6
71,1038,2014/4/8
72,1038,2015/1/8
73,1035,2015/2/3
74,1033,2013/11/12
75,1032,2015/7/1
76,1032,2014/2/17
77,1029,2013/7/1
78,1026,2013/3/5
79,1026,2015/3/2
80,1025,2013/12/3
81,1025,2013/11/1
82,1025,2012/2/21
83,1024,2016/11/21
84,1022,2015/5/11
85,1021,2015/2/9
86,1020,2014/8/26
87,1020,2015/3/3
88,1017,2015/2/12
89,1017,2015/2/10
90,1017,2014/3/7
91,1016,2012/1/5
92,1016,2014/2/3
93,1015,2015/12/21
94,1015,2015/1/21
95,1014,2015/1/14
96,1014,2012/12/11
97,1014,2013/2/1
98,1012,2013/1/8
99,1011,2016/4/1
100,1010,2013/11/22
101,1008,2014/9/18
102,1007,2013/3/1
103,1006,2014/3/17
104,1005,2013/3/21
105,1004,2013/10/31
106,1004,2013/8/30
107,1004,2013/2/5
108,1003,2014/2/12
109,1002,2014/10/21
110,1001,2014/12/16
111,1001,2014/1/14
112,1000,2014/11/6
113,1000,2015/2/24
114,1000,2014/2/25
115,1000,2014/8/4
116,999,2013/9/3
117,997,2013/10/3
118,996,2014/2/13
119,996,2015/4/21
120,996,2014/9/22
121,996,2012/3/21
122,996,2014/2/5
123,994,2013/12/11
124,992,2014/8/5
125,991,2013/6/4
126,991,2013/12/9
127,988,2012/7/23
128,987,2015/6/30
129,986,2013/11/13
130,986,2015/3/23
131,984,2015/1/13
132,984,2012/8/1
133,983,2012/11/27
134,983,2013/1/22
135,983,2013/12/10
136,982,2014/6/23
137,981,2013/11/26
138,981,2014/1/9
139,980,2014/3/20
140,979,2012/3/22
141,979,2015/1/15
142,978,2013/10/21
143,978,2013/1/16
144,977,2013/5/15
145,977,2013/12/24
146,977,2014/3/18
147,976,2015/9/24
148,975,2015/2/18
149,974,2012/4/23
150,973,2012/8/21
151,973,2015/2/4
152,973,2013/4/9
153,973,2015/1/23
154,973,2012/10/2
155,972,2015/8/4
156,971,2013/1/21
157,970,2014/8/1
158,970,2015/2/17
159,970,2013/10/17
160,970,2013/6/28
161,969,2015/11/9
162,969,2015/9/1
163,968,2014/1/17
164,967,2014/12/1
165,967,2013/2/25
166,967,2014/1/7
167,967,2013/12/4
168,966,2015/2/5
169,965,2012/4/2
170,965,2014/9/24
171,963,2016/12/15
172,962,2014/3/19
173,961,2013/9/18
174,961,2016/8/8
175,961,2013/2/4
176,960,2015/7/28
177,960,2014/1/10
178,958,2012/3/2
179,958,2015/1/27
180,958,2014/2/26
181,957,2012/3/1
182,957,2013/9/10
183,957,2015/1/7
184,955,2016/1/13
185,954,2015/5/8
186,953,2016/11/24
187,952,2012/6/1
188,952,2015/10/13
189,951,2012/6/21
190,951,2015/5/21
191,950,2016/10/24
192,950,2013/1/9
193,950,2015/6/3
194,948,2012/3/8
195,948,2012/5/21
196,948,2014/3/14
197,947,2015/11/24
198,947,2016/5/23
199,946,2015/2/25
200,944,2016/8/22
201,943,2015/6/9
202,943,2015/7/31
203,943,2013/10/23
204,943,2014/12/2
205,942,2014/11/18
206,942,2012/3/5
207,942,2012/7/4
208,941,2015/4/15
209,941,2015/3/10
210,940,2013/4/2
211,938,2014/9/3
212,938,2012/1/6
213,937,2012/7/5
214,937,2014/11/28
215,936,2012/3/7
216,936,2013/4/25
217,935,2013/1/31
218,934,2012/8/6
219,934,2015/10/21
220,934,2012/2/7
221,934,2013/10/29
222,933,2015/10/8
223,931,2014/2/19
224,931,2014/2/28
225,930,2013/2/19
226,929,2014/11/21
227,929,2015/1/22
228,929,2015/7/27
229,929,2014/1/15
230,928,2013/10/2
231,928,2014/10/2
232,928,2012/3/12
233,927,2012/1/11
234,927,2012/7/2
235,926,2014/11/26
236,926,2015/11/5
237,926,2015/11/6
238,925,2013/9/17
239,925,2013/3/4
240,924,2012/3/14
241,924,2015/2/23
242,924,2016/2/29
243,924,2013/2/28
244,924,2015/6/1
245,924,2013/5/28
246,922,2013/3/22
247,922,2014/10/8
248,921,2013/4/1
249,920,2012/11/20
250,920,2015/11/4
251,919,2015/4/2
252,918,2014/7/15
253,918,2015/2/13
254,918,2013/3/19
255,916,2015/10/26
256,916,2016/9/23
257,916,2014/10/23
258,916,2013/12/6
259,915,2013/10/4
260,915,2014/9/30
261,915,2013/11/5
262,914,2015/3/24
263,914,2014/3/5
264,914,2013/7/2
265,914,2013/4/16
266,914,2012/7/10
267,913,2013/11/19
268,912,2015/11/25
269,912,2013/3/6
270,911,2013/7/22
271,911,2014/10/14
272,910,2014/1/8
273,910,2016/3/31
274,910,2015/1/30
275,909,2016/11/1
276,909,2014/6/24
277,909,2014/8/21
278,909,2013/9/5
279,909,2015/7/7
280,908,2015/8/21
281,908,2012/7/31
282,908,2014/1/22
283,908,2014/2/20
284,907,2014/4/22
285,906,2012/3/6
286,906,2015/9/25
287,906,2013/3/12
288,906,2012/9/11
289,906,2014/7/31
290,905,2014/7/8
291,905,2015/1/6
292,904,2013/2/20
293,904,2014/11/5
294,904,2016/2/15
295,904,2015/10/15
296,903,2013/6/25
297,903,2014/3/6
298,903,2013/11/29
299,903,2013/2/8
300,902,2013/9/9
301,902,2015/2/6
302,901,2014/12/10
303,901,2015/9/7
304,901,2013/10/10
305,900,2014/11/19
306,900,2013/10/15
307,899,2013/5/10
308,899,2014/12/17
309,899,2014/9/10
310,899,2014/12/4
311,899,2015/12/7
312,899,2014/4/2
313,899,2012/2/8
314,898,2014/1/16
315,898,2015/1/28
316,898,2016/3/1
317,898,2013/8/22
318,898,2016/3/4
319,898,2014/4/15
320,897,2015/3/5
321,897,2014/3/10
322,896,2016/11/15
323,896,2015/4/7
324,896,2015/9/3
325,896,2012/4/17
326,896,2016/11/30
327,896,2016/6/23
328,895,2015/3/9
329,895,2014/11/10
330,893,2016/2/1
331,893,2015/9/28
332,893,2013/7/23
333,893,2013/5/21
334,892,2012/1/23
335,892,2012/2/15
336,892,2015/3/12
